LOCATION_KEY,POSTCODE_DISTRICT,POSTCODE_AREA,BOROUGH,IS_CENTRAL_LONDON,LONDON_REGION
44fffc422580d51eb2fa66e3dc4908ae,N20,N,Barnet,FALSE,North London
fdcca8abb533173a8f6e2f235b9a0deb,W10,W,Kensington and Chelsea,TRUE,West London
b426a0085dea0319813c1aba4c6bf271,E5,E,Hackney,FALSE,East London
725a5bfc82440320e1d1f882ad6c93d9,SE26,SE,Lewisham,FALSE,South East London
c22e5866eda6ea3e0f800d0a5fb9a2ad,W1H,W,Westminster,TRUE,West London
d75f7ac710809b843b420c18ab33648f,EC1M,EC,City of London,TRUE,East Central London
f55b99dcff034fd4ba676ef9c4efb4f8,EC4A,EC,City of London,TRUE,East Central London
3ce82f8a6f04f52773a4d95a35ab19e9,W11,W,Kensington and Chelsea,TRUE,West London
d18a919e4406d51e2d40a3d872ef5b5d,N2,N,Barnet,FALSE,North London
03e7c235130e7592dbf69beeac563479,SE16,SE,Southwark,TRUE,South East London
19b8a111b071d54c8996f31b3017f599,EC3N,EC,City of London,TRUE,East Central London
37481da10b6efe7966c1c2939a273380,NW2,NW,Brent,FALSE,North West London
d00c75e284c1c8002e6e49d9c94120ad,N7,N,Islington,TRUE,North London
f4c71920b734f3be8d33d1d254679b18,W12,W,Hammersmith and Fulham,TRUE,West London
205d8498c08aee4a8bc745e53759db4b,N1,N,Islington,TRUE,North London
447634a3759a64a7f2ec0a7bd3d613d9,N18,N,Enfield,FALSE,North London
568e57643b459395208d3d02a926609e,E6,E,Newham,FALSE,East London
8164c899e50496cc4a845a5179b760f5,NW9,NW,Barnet,FALSE,North West London
af7f6f2966934b6e7ead1d88024db8c6,SW18,SW,Wandsworth,FALSE,South West London
a2d150c5df6019de42888b2a294a8384,EC4V,EC,City of London,TRUE,East Central London
ac3826801f6f92e15e424f3b865f51c8,N8,N,Haringey,FALSE,North London
62b8282432ed6b0b586769e82d259d1a,SW2,SW,Lambeth,TRUE,South West London
bb841dd5d1c2c3cc62f636767c0c49a9,SW1A,SW,Westminster,TRUE,South West London
6352a9aa4e37fe3bfe1e71c9c58c0c0b,EC4R,EC,City of London,TRUE,East Central London
2896a916d4507b5ad19294d405651745,WC2B,WC,Camden,TRUE,West Central London
ad2a005dc71d8bd0c7a6c82c69b4ab2e,NW8,NW,Westminster,TRUE,North West London
707d25aad3006980fa2835c6e21454fa,EC1A,EC,City of London,TRUE,East Central London
b60f2d4190770bfd554b846a50f119b1,NW5,NW,Camden,TRUE,North West London
c5f716481c585ed09a3fb04bea4ac44c,WC1E,WC,Camden,TRUE,West Central London
233c0b3260d7f5d9e29058e36314a847,SW1H,SW,Westminster,TRUE,South West London
59dc79dbe956193518f70b744366cfd7,SE17,SE,Southwark,TRUE,South East London
08df1a352ee6c2c7b4267b7f5206965f,SW1Y,SW,Westminster,TRUE,South West London
98e1bb76b6a1c6bf43fc8bcd934cd1a3,WC1V,WC,Camden,TRUE,West Central London
7c8e6042404f4ec0feb7c6a087d301b4,WC1R,WC,Camden,TRUE,West Central London
af43e69fba214a3b7a31ab128eebccd1,EC4M,EC,City of London,TRUE,East Central London
4c2bca8d43913d7a0098a1c7f88681ca,W1F,W,Westminster,TRUE,West London
b99795f07993516ab21c45ec8f177cca,E18,E,Redbridge,FALSE,East London
137feb10baf38342682af7ccc014eaff,SW5,SW,Kensington and Chelsea,TRUE,South West London
f87dbd30272582e4d69eaaeae4ae6c72,N19,N,Islington,TRUE,North London
bf7efe05692aaea0726e15cede5b40d7,E10,E,Waltham Forest,FALSE,East London
dd39134ecf3feaa6348d829dd734683d,N16,N,Hackney,FALSE,North London
77f070ad942734421f4d42efab41a92b,NW4,NW,Barnet,FALSE,North West London
aa56ae3fbc891bef2e28d526c3bbe292,N4,N,Haringey,FALSE,North London
12ab7efaf9de307bf21005b3abe4d494,N1C,N,Camden,TRUE,North London
c1fac51b12adc85c32e243ad4ef31afb,WC2A,WC,Camden,TRUE,West Central London
590dd53b8cf4228f96826207ecc00127,SE2,SE,Bexley,FALSE,South East London
fbf649599aa339d9687cafa4cf4204ff,W14,W,Hammersmith and Fulham,TRUE,West London
8a2ed791282b0f1ddbab1423c40405d2,SE9,SE,Greenwich,FALSE,South East London
3f5b31457c6c37178331fb9e477f715d,SE6,SE,Lewisham,FALSE,South East London
14aa58a56fa7b6020257b4b6433036ac,SW16,SW,Lambeth,TRUE,South West London
9d52e150db36a1484cc6a4aadfbc240e,SE1,SE,Southwark,TRUE,South East London
e04f574bcbe9c097f18197fed6097fec,EC3R,EC,City of London,TRUE,East Central London
1fa7d87ab08d9b694d0532560abb72bc,W1T,W,Westminster,TRUE,West London
bcc098abf673c57df5ea5b7807f6bd7c,SW15,SW,Wandsworth,FALSE,South West London
4ba3d78ff33a86b5835c0fa25ba0e4d9,W1G,W,Westminster,TRUE,West London
e0509a485359011036105b650bcfd69e,SE7,SE,Greenwich,FALSE,South East London
7f110218a7c3afaaf9c199264ad372ab,EC2V,EC,City of London,TRUE,East Central London
1f7d3319789e593a594520cca48bfbc1,EC4N,EC,City of London,TRUE,East Central London
f66e2c04e6b7bf868764bff76cbac854,EC2N,EC,City of London,TRUE,East Central London
433a96ac23cd9a6168bef8542c70220c,W2,W,Westminster,TRUE,West London
1e68328f9d8303883e5057b78cc5a1eb,SW6,SW,Hammersmith and Fulham,TRUE,South West London
f2e35dbc0a606e1eae09758b0e6b8400,EC2Y,EC,City of London,TRUE,East Central London
be2b978f448423772f819f2356440feb,W3,W,Ealing,FALSE,West London
f095f530fada5be35f75331bd2ffc1ec,W5,W,Ealing,FALSE,West London
fe6e2553372a777d32186c5e921f5856,E4,E,Waltham Forest,FALSE,East London
a2925b9cc5446bb34a7ba578c91f5e52,SW11,SW,Wandsworth,FALSE,South West London
4e5021ed7606f7da00f53900296d9f45,N22,N,Haringey,FALSE,North London
92cab8a2f18a31d7fe87449536be0861,E16,E,Newham,FALSE,East London
25300b56adceda746f1193027bb1655c,SE19,SE,Croydon,FALSE,South East London
9d5cebc91264af26cacb4b0cf1bbb7c9,NW1,NW,Camden,TRUE,North West London
1e86ff6eeac0d47f479b486d78b16267,SE10,SE,Greenwich,FALSE,South East London
c4ad147b3412e53a8aaa0812dd7cb6be,SE27,SE,Lambeth,TRUE,South East London
20406e7ef38f208680e3e0291e7d94f1,SW8,SW,Lambeth,TRUE,South West London
63c960f7f43cb6a2d73600739b069928,SW4,SW,Lambeth,TRUE,South West London
238acaa42e0e8961bed13d2fd0adb57a,SW9,SW,Lambeth,TRUE,South West London
7ced7403894a61340260e3037ead0ff9,EC3A,EC,City of London,TRUE,East Central London
d189c56b30e04d14bd4b476170c129de,SE4,SE,Lewisham,FALSE,South East London
be67fcf4a59874672aa93b1a58e20672,SE5,SE,Southwark,TRUE,South East London
d6bd3bedcfbfdcb3c75e78152e8ce6a1,WC1H,WC,Camden,TRUE,West Central London
82553148502cc3c85a075919ea930ab0,W1Y,W,Westminster,TRUE,West London
c4f15afcdae3796bd0af8e388b5ac4d4,E1,E,Tower Hamlets,FALSE,East London
3f202db76b01dfcafcb95c1191574a11,E3,E,Tower Hamlets,FALSE,East London
c541d8ea9f805bfb9dce2314ef9ce2e1,W13,W,Ealing,FALSE,West London
636a74b7f5ed6208b081386e19452161,E9,E,Hackney,FALSE,East London
49589ae6f1d56aa3acbcfb8ad4841c9e,SE22,SE,Southwark,TRUE,South East London
a66f98f4c3d6784843760b2f19d4e5cb,WC1N,WC,Camden,TRUE,West Central London
14c852d2985890ed391129b5f207b91e,N5,N,Islington,TRUE,North London
159d87b0f007de657bee8d9be8910723,WC1A,WC,Camden,TRUE,West Central London
c77f5ba87f4d3f1e7b1bc6f363e86781,SW19,SW,Merton,FALSE,South West London
55b5efea01836e96f59ac2a5b8fa8170,N10,N,Haringey,FALSE,North London
5fba5c49d2716723922ddcc5ac911d13,NW11,NW,Barnet,FALSE,North West London
38e0bbd9c4f51abf32b2820eacb5c20e,N14,N,Enfield,FALSE,North London
7cabffdbfb630137ef1e87163d4bd93c,SE28,SE,Greenwich,FALSE,South East London
9465f6c9c6e4510e65421b93faf09bf7,EC1N,EC,City of London,TRUE,East Central London
12112d4d3b98a1414562dbfddde6b4b9,SW14,SW,Richmond upon Thames,FALSE,South West London
38815d631e87c471f13e77d7753b107f,W1C,W,Westminster,TRUE,West London
fbae39b8cac24c3a0ec9b37c4677a079,SW10,SW,Kensington and Chelsea,TRUE,South West London
d781a0db0f46a71abd8e815b11112bae,SW3,SW,Kensington and Chelsea,TRUE,South West London
3b17a6a20a3ba6f15b1991f20856f38e,SE12,SE,Lewisham,FALSE,South East London
da1898f09909cc155812423a0676e09f,SE8,SE,Lewisham,FALSE,South East London
899e1e9a8ad0366be84b9db7658677a5,W1S,W,Westminster,TRUE,West London
56b82a4637b6e28cb64b884a8930eb92,SW13,SW,Richmond upon Thames,FALSE,South West London
1dba5dbe9b358b4da36794b48823868e,E22,E,Newham,FALSE,East London
